question,answer,article,section,concept
"What is the short title, extent and commencement referred to in the Code of Criminal Procedure, 1973?","Section 1 of Chapter I PRELIMINARY","Code of Criminal Procedure, 1973","Section 1","Short title, extent, and commencement"
"Which section of the Code of Criminal Procedure, 1973 refers to the short title, extent and commencement?","Section 1 of Chapter I PRELIMINARY","Code of Criminal Procedure, 1973","Section 1","Short title, extent, and commencement"
"What does Section 2 of the Code of Criminal Procedure, 1973 define?","Definitions","Code of Criminal Procedure, 1973","Section 2","Definitions"
"What is defined in Section 2 of the Code of Criminal Procedure, 1973?","Definitions","Code of Criminal Procedure, 1973","Section 2","Definitions"
"What is the purpose of Section 3 in the Code of Criminal Procedure, 1973?","Construction of references","Code of Criminal Procedure, 1973","Section 3","Construction of references"
"Which section of the Code of Criminal Procedure, 1973 is about 'Construction of References'?","Section 3","Code of Criminal Procedure, 1973","Section 3","Construction of references"
"What is regulated under Section 4 in the Code of Criminal Procedure, 1973?","Trial of offences under the Indian Penal Code and other laws","Code of Criminal Procedure, 1973","Section 4","Trial of offences"
"Under which section in the Code of Criminal Procedure, 1973 is the trial of offences under the Indian Penal Code and other laws regulated?","Section 4","Code of Criminal Procedure, 1973","Section 4","Trial of offences"
"What is the subject of Section 5 in the Code of Criminal Procedure, 1973?","Saving","Code of Criminal Procedure, 1973","Section 5","Saving"
"Which section of the Code of Criminal Procedure, 1973 is about 'Saving'?","Section 5","Code of Criminal Procedure, 1973","Section 5","Saving"
"What does Chapter II of the Code of Criminal Procedure, 1973 cover?","CONSTITUTION OF CRIMINAL COURTS AND OFFICES","Code of Criminal Procedure, 1973","Chapter II","Constitution of Criminal Courts and Offices"
"Which chapter of the Code of Criminal Procedure, 1973 covers the CONSTITUTION OF CRIMINAL COURTS AND OFFICES?","Chapter II","Code of Criminal Procedure, 1973","Chapter II","Constitution of Criminal Courts and Offices"
"What does Section 6 of the Code of Criminal Procedure, 1973 classify?","Classes of Criminal Courts","Code of Criminal Procedure, 1973","Section 6","Classes of Criminal Courts"
"What does the Code of Criminal Procedure, 1973, in Section 6, classify as Classes of Criminal Courts?","Section 6","Code of Criminal Procedure, 1973","Section 6","Classes of Criminal Courts"
"What is discussed in Section 7 of the Code of Criminal Procedure, 1973?","Territorial divisions","Code of Criminal Procedure, 1973","Section 7","Territorial divisions"
"Which section of the Code of Criminal Procedure, 1973 discusses territorial divisions?","Section 7","Code of Criminal Procedure, 1973","Section 7","Territorial divisions"
"What is the focus of Section 8 in the Code of Criminal Procedure, 1973?","Metropolitan areas","Code of Criminal Procedure, 1973","Section 8","Metropolitan areas"
